,Rating,Title,Review,Review_Date
0,4.0,"4.0 out of 5 stars
Value for money",Camera is good but not in nightBattery is not performing as 5000mahOther things is good enough,23 November 2023
1,4.0,"4.0 out of 5 stars
Very good phone in 16 K of oneplus","Very good and Stylish phone as compared to other phones all the functions are like iPhone in India there is a poor population as compared to foreign countries so I think that,that people of India able to buy this phone from brand one plus only the minor problem in the phone is that,that it consumes it's 20 % battery very fast but rest of 80% of battery working very well it works approximately 40 hours after charge I charge my phone after a day only one problem that 20 % battery losses early otherwise very good phone I suggest Indians buy this phone and requesting to oneplus don't increase the rate of this phone from 16000 I want to buy in 15000 but I buy it in the end of 16000 in EMI 'S I segesst to one plus if it's rate equal to 15000 in Great Indian festival then I will baught one more in fact when I showed my oneplus to my neighbours they were very impressed and want to buy this phone but in budget of 15k overall full marks to oneplus great product from the gallary of oneplus thank you",1 October 2023
2,4.0,"4.0 out of 5 stars
Good Choice",Pros :Build QualityCameraValue for moneyBatteryCons:At this price range it is good enough but sometimes hanging,17 November 2023
3,4.0,"4.0 out of 5 stars
नाइट कैमरा अच्छा नहीं है पिक्चर लेने पर वीडियो झिलमिल आता है",रात में वीडियो रिकॉर्डिंग कर रहे हैं तो कैमरा झिलमिल आता है और जूमिंग भी नहीं है कैमरा सबसे महान घटिया है,15 November 2023
4,4.0,"4.0 out of 5 stars
👍",It's valuable price ok,16 November 2023
5,4.0,"4.0 out of 5 stars
Nice",Quality,13 November 2023
6,4.0,"4.0 out of 5 stars
Great",Nice product,17 November 2023
7,4.0,"4.0 out of 5 stars
Good",Good,14 November 2023
8,4.0,"4.0 out of 5 stars
Nice Product",Thank You,9 November 2023
9,4.0,"4.0 out of 5 stars
Software","Acording to price of this phone.nice camera quality, colour & Design👍...",5 November 2023
